Second,VolumeDb,PitchHz,MidiNote,Note
330,-22,1521,90,F#6
331,-24.6,122,47,B2
332,-21.3,144,50,D3
333,-20.8,1521,90,F#6
334,-21.1,1521,90,F#6
335,-23.4,1521,90,F#6
336,-23.9,919,82,A#5
337,-23.3,345,65,F4
338,-20.8,700,77,F5
339,-22.4,1521,90,F#6
340,-26.8,162,52,E3
341,-24.9,329,64,E4
342,-24.1,279,61,C#4
343,-20,802,79,G5
344,-21.4,774,79,G5
345,-21.3,760,78,F#5
346,-21.5,747,78,F#5
347,-20.3,723,78,F#5
348,-22.3,689,77,F5
349,-23.6,155,51,D#3
350,-22.8,149,50,D3
351,-22.2,99,43,G2
352,-20.9,1521,90,F#6
353,-24.9,1521,90,F#6
354,-24.3,374,66,F#4
355,-23.9,339,64,E4
356,-22.2,678,76,E5
357,-22.8,130,48,C3
358,-23.4,1260,87,D#6
359,-23.8,1521,90,F#6
360,-24.3,1521,90,F#6
361,-21,1521,90,F#6
362,-25.3,74,38,D2
363,-23.3,394,67,G4
364,-22.1,1470,90,F#6
365,-21.7,322,64,E4
366,-20.6,198,55,G3
367,-21.8,1521,90,F#6
368,-19.8,1521,90,F#6
369,-20.2,723,78,F#5
370,-19.8,1521,90,F#6
371,-23.2,184,54,F#3
372,-21.2,700,77,F5
373,-21.6,1521,90,F#6
374,-19.9,339,64,E4
375,-22.7,1521,90,F#6
376,-25.2,1521,90,F#6
377,-24.6,1521,90,F#6
378,-25.4,147,50,D3
379,-21.7,1521,90,F#6
380,-21.9,248,59,B3
381,-24.3,1521,90,F#6
382,-22.5,1521,90,F#6
383,-23.4,1470,90,F#6
384,-20.2,94,42,F#2
385,-20.6,1521,90,F#6
386,-20.5,1521,90,F#6
387,-21.3,394,67,G4
388,-20.7,1521,90,F#6
389,-22.1,160,52,E3
390,-24.4,187,54,F#3
391,-23.2,1521,90,F#6
392,-21.4,1521,90,F#6
393,-22,1521,90,F#6
394,-23.3,1521,90,F#6
395,-23.7,1521,90,F#6
396,-22.6,215,57,A3
397,-20.7,1470,90,F#6
398,-24.7,158,51,D#3
399,-24.3,186,54,F#3
400,-23.4,1521,90,F#6
401,-22.1,1521,90,F#6
402,-21.9,1521,90,F#6
403,-23.2,249,59,B3
404,-22.1,1521,90,F#6
405,-20.9,188,54,F#3
406,-20.3,1521,90,F#6
407,-23.7,159,51,D#3
408,-24,187,54,F#3
409,-23.1,1521,90,F#6
410,-21.7,1521,90,F#6
411,-20.5,1521,90,F#6
412,-22.2,1521,90,F#6
413,-22.1,1521,90,F#6
414,-20.1,441,69,A4
415,-21.2,1521,90,F#6
416,-22.3,158,51,D#3
417,-24.4,1521,90,F#6
418,-23.3,1521,90,F#6
419,-21.9,1521,90,F#6
420,-21.3,1521,90,F#6
421,-23.2,1521,90,F#6
422,-22.5,1521,90,F#6
423,-24,1521,90,F#6
424,-20.5,1521,90,F#6
425,-22.5,1050,84,C6
426,-22.1,817,80,G#5
427,-21.4,148,50,D3
428,-20.7,848,80,G#5
429,-20.9,817,80,G#5
430,-22.4,848,80,G#5
431,-22.8,774,79,G5
432,-23.9,98,43,G2
433,-20.3,1470,90,F#6
434,-22.4,249,59,B3
435,-23,124,47,B2
436,-20.2,1026,84,C6
437,-20.9,147,50,D3
438,-20.5,197,55,G3
439,-21.1,865,81,A5
440,-19.7,1076,84,C6
441,-20.6,658,76,E5
442,-20.2,1521,90,F#6
443,-25.4,1470,90,F#6
444,-27.3,327,64,E4
445,-33.1,145,50,D3
446,-32.6,1521,90,F#6
447,-36.1,235,58,A#3
448,-29.9,207,56,G#3
449,-32.8,327,64,E4
450,-29.9,114,46,A#2
451,-25.6,848,80,G#5
452,-29.2,1521,90,F#6
453,-30.9,317,63,D#4
454,-35,144,50,D3
455,-35,253,59,B3
456,-36.5,238,58,A#3
457,-33.6,1161,86,D6
458,-34.8,329,64,E4
459,-28.9,119,46,A#2
460,-26,374,66,F#4
461,-30.6,356,65,F4
462,-30.9,327,64,E4
463,-33.5,144,50,D3
464,-34.2,261,60,C4
465,-34.8,131,48,C3
466,-30.5,1260,87,D#6
467,-23.6,1260,87,D#6
468,-23,124,47,B2
469,-21.2,1521,90,F#6
470,-23.9,900,81,A5
471,-23.9,1521,90,F#6
472,-23,1297,88,E6
473,-23.4,1161,86,D6
474,-25.2,1521,90,F#6
475,-25.7,1521,90,F#6
476,-22.6,356,65,F4
477,-21.5,848,80,G#5
478,-21.2,1521,90,F#6
479,-28.2,882,81,A5
480,-24.9,322,64,E4
481,-23.4,1521,90,F#6
482,-23.3,94,42,F#2
483,-25.6,1521,90,F#6
484,-22.3,1521,90,F#6
485,-21.7,327,64,E4
486,-21.1,164,52,E3
487,-21.2,1423,89,F6
488,-23.3,356,65,F4
489,-22.4,817,80,G#5
490,-21.5,1521,90,F#6
491,-22.8,1521,90,F#6
492,-25,1521,90,F#6
493,-21.5,1260,87,D#6
494,-21.4,1521,90,F#6
495,-23.4,1521,90,F#6
496,-19.6,1521,90,F#6
497,-20.8,1521,90,F#6
498,-22.7,1521,90,F#6
499,-22,1521,90,F#6
500,-23.1,630,75,D#5
501,-21.6,387,67,G4
502,-20.4,1521,90,F#6
503,-20.6,774,79,G5
504,-25.4,1521,90,F#6
505,-20.6,1521,90,F#6
506,-21.3,166,52,E3
507,-21.6,164,52,E3
